location,soiltype,dampingdepth,soilwater_fc_global,soilwater_sat_global,drainage_rate,deltatheta,DZF,depth_1,depth_2,depth_3,depth_4,depth_5,depth_6,soilwater_fc_1,soilwater_fc_2,soilwater_fc_3,soilwater_fc_4,soilwater_fc_5,soilwater_fc_6,soilwater_red_1,soilwater_red_2,soilwater_red_3,soilwater_red_4,soilwater_red_5,soilwater_red_6,soilwater_wp_1,soilwater_wp_2,soilwater_wp_3,soilwater_wp_4,soilwater_wp_5,soilwater_wp_6,soilwater_sat_1,soilwater_sat_2,soilwater_sat_3,soilwater_sat_4,soilwater_sat_5,soilwater_sat_6,soilwater_init_1,soilwater_init_2,soilwater_init_3,soilwater_init_4,soilwater_init_5,soilwater_init_6,bulkdensity_1,bulkdensity_2,bulkdensity_3,bulkdensity_4,bulkdensity_5,bulkdensity_6,clay_1,clay_2,clay_3,clay_4,clay_5,clay_6,carbon_1,carbon_2,carbon_3,carbon_4,carbon_5,carbon_6,ammonium_1,ammonium_2,ammonium_3,ammonium_4,ammonium_5,ammonium_6,nitrate_1,nitrate_2,nitrate_3,nitrate_4,nitrate_5,nitrate_6,sand_1,sand_2,sand_3,sand_4,sand_5,sand_6,soilwater_res_1,soilwater_res_2,soilwater_res_3,soilwater_res_4,soilwater_res_5,soilwater_res_6,macroporevolume_1,macroporevolume_2,macroporevolume_3,macroporevolume_4,macroporevolume_5,macroporevolume_6,SoilLayerDepth_1,SoilLayerDepth_2,SoilLayerDepth_3,SoilLayerDepth_4,SoilLayerDepth_5,SoilLayerDepth_6,CaCO3_1,CaCO3_2,CaCO3_3,CaCO3_4,CaCO3_5,CaCO3_6,PH_1,PH_2,PH_3,PH_4,PH_5,PH_6,BSA_1,BSA_2,BSA_3,BSA_4,BSA_5,BSA_6,LowerBoundaryConcentration,RootMaxUptakeRate,InitialDissolvedPConcentration_1,InitialDissolvedPConcentration_2,InitialDissolvedPConcentration_3,InitialDissolvedPConcentration_4,InitialDissolvedPConcentration_5,InitialDissolvedPConcentration_6,InitialAdsorbedPConcentration_1,InitialAdsorbedPConcentration_2,InitialAdsorbedPConcentration_3,InitialAdsorbedPConcentration_4,InitialAdsorbedPConcentration_5,InitialAdsorbedPConcentration_6,InitialFixedPConcentration_1,InitialFixedPConcentration_2,InitialFixedPConcentration_3,InitialFixedPConcentration_4,InitialFixedPConcentration_5,InitialFixedPConcentration_6,slimalfa_1,slimalfa_2,slimalfa_3,slimalfa_4,slimalfa_5,slimalfa_6
49651,AP5,6,0.211910559,0.448777024,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.284482287,0.24964464,0.202233167,0.190712138,0.205273,0.205273,0.197092924,0.176963445,0.13817558,0.130254816,0.136505549,0.136505549,0.109703562,0.10428225,0.074117994,0.069797493,0.067738098,0.067738098,0.50182754,0.421631635,0.415454852,0.401637474,0.461251156,0.461251156,0.284482287,0.24964464,0.202233167,0.190712138,0.205273,0.205273,1.2016,1.4651,1.4757,1.5195,1.3216,1.3216,13.2182,13.5384,11.5793,11.2316,10.2035,10.2035,1.1393,1.0531,0.3734,0.1959,0.1205,0.1205,5,4,3,2,1,0,5,4,3,2,1,0,36.7131,36.669,54.456,57.0983,57.9346,57.9346,0.093389463,0.089966189,0.062884462,0.059258888,0.056635668,0.056635668,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
49655,AP5,6,0.175436458,0.45023264,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.254158381,0.233655198,0.169160382,0.141138213,0.166666399,0.166666399,0.178021268,0.16685338,0.118087789,0.0980283,0.111014514,0.111014514,0.101884155,0.100051562,0.067015196,0.054918386,0.05536263,0.05536263,0.470516542,0.415982358,0.413950955,0.388399487,0.469036205,0.469036205,0.254158381,0.233655198,0.169160382,0.141138213,0.166666399,0.166666399,1.2999,1.4786,1.4503,1.5254,1.256,1.256,13.7591,14.0647,11.2912,8.7167,7.0066,7.0066,0.9593,0.9537,0.2562,0.1287,0.0954,0.0954,5,4,3,2,1,0,5,4,3,2,1,0,46.8576,46.8398,72.6741,77.307,78.86,78.86,0.087380308,0.086739951,0.058870858,0.048609087,0.048195967,0.048195967,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
49662,AP5,6,0.159971159,0.382094078,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.238024231,0.203555278,0.154846287,0.115656177,0.154867959,0.154867959,0.165312738,0.143086204,0.106863251,0.078925335,0.103699387,0.103699387,0.092601245,0.082617131,0.058880215,0.042194493,0.052530814,0.052530814,0.492090207,0.435197907,0.3937415,0.376936509,0.364464579,0.364464579,0.238024231,0.203555278,0.154846287,0.115656177,0.154867959,0.154867959,1.194,1.3809,1.506,1.561,1.6349,1.6349,7.7771,7.9097,6.1415,4.6592,6.1525,6.1525,2.1682,2.1727,1.5051,0.1444,0.0746,0.0746,5,4,3,2,1,0,5,4,3,2,1,0,66.537,66.7852,76.1528,81.5822,64.4406,64.4406,0.080277458,0.072265039,0.051788974,0.037863443,0.04431883,0.04431883,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
