projectid;CURRENT.DATE;simulationid;Year;PlantingDOY;AnthesisDOY;MaturityDOY
49651;16.09.1981;49651_00__1;1981;271;154;259
49651;15.09.1982;49651_00__1;1982;271;161;258
49651;25.08.1983;49651_00__1;1983;271;142;237
49651;23.09.1985;49651_00__1;1985;271;158;266
49651;24.09.1986;49651_00__1;1986;271;162;267
49651;04.09.1988;49651_00__1;1988;271;149;248
49651;25.08.1989;49651_00__1;1989;271;139;237
49651;23.08.1990;49651_00__1;1990;271;130;235
49651;17.09.1991;49651_00__1;1991;271;162;260
49651;28.08.1992;49651_00__1;1992;271;152;241
49651;18.09.1993;49651_00__1;1993;271;151;261
49651;04.09.1994;49651_00__1;1994;271;155;247
49651;01.09.1995;49651_00__1;1995;271;150;244
49651;04.09.1997;49651_00__1;1997;271;158;247
49651;30.08.1998;49651_00__1;1998;271;142;242
49651;05.09.1999;49651_00__1;1999;271;152;248
49651;27.08.2000;49651_00__1;2000;271;138;240
49651;30.08.2001;49651_00__1;2001;271;144;242
49651;24.08.2002;49651_00__1;2002;271;140;236
49651;07.09.2003;49651_00__1;2003;271;159;250
49651;16.09.2004;49651_00__1;2004;271;159;260
49651;10.09.2005;49651_00__1;2005;271;153;253
49651;10.09.2006;49651_00__1;2006;271;164;253
49651;04.08.2007;49651_00__1;2007;271;111;216
49651;30.08.2008;49651_00__1;2008;271;148;243
49651;04.09.2009;49651_00__1;2009;271;149;247
49651;16.09.2010;49651_00__1;2010;271;163;259
49651;09.09.2011;49651_00__1;2011;271;154;252
49651;29.08.2012;49651_00__1;2012;271;143;242
49651;14.09.2013;49651_00__1;2013;271;164;257
49651;17.08.2014;49651_00__1;2014;271;130;229
49651;25.08.2015;49651_00__1;2015;271;140;237
49651;22.08.2016;49651_00__1;2016;271;139;235
49651;04.09.2017;49651_00__1;2017;271;151;247
49651;12.08.2018;49651_00__1;2018;271;139;224
49651;15.08.2019;49651_00__1;2019;271;136;227
49651;16.08.2020;49651_00__1;2020;271;129;229
49651;30.08.2021;49651_00__1;2021;271;151;242
49651;31.07.2022;49651_00__1;2022;271;123;212
