projectid;CURRENT.DATE;simulationid;Year;PlantingDOY;AnthesisDOY;MaturityDOY
49662;19.09.1981;49662_00__1;1981;271;155;262
49662;18.09.1982;49662_00__1;1982;271;163;261
49662;28.08.1983;49662_00__1;1983;271;144;240
49662;25.09.1985;49662_00__1;1985;271;159;268
49662;27.09.1986;49662_00__1;1986;271;163;270
49662;07.09.1988;49662_00__1;1988;271;150;251
49662;26.08.1989;49662_00__1;1989;271;140;238
49662;26.08.1990;49662_00__1;1990;271;131;238
49662;18.09.1991;49662_00__1;1991;271;163;261
49662;29.08.1992;49662_00__1;1992;271;152;242
49662;19.09.1993;49662_00__1;1993;271;151;262
49662;05.09.1994;49662_00__1;1994;271;156;248
49662;02.09.1995;49662_00__1;1995;271;150;245
49662;04.09.1997;49662_00__1;1997;271;158;247
49662;31.08.1998;49662_00__1;1998;271;142;243
49662;05.09.1999;49662_00__1;1999;271;152;248
49662;28.08.2000;49662_00__1;2000;271;138;241
49662;31.08.2001;49662_00__1;2001;271;145;243
49662;25.08.2002;49662_00__1;2002;271;141;237
49662;09.09.2003;49662_00__1;2003;271;160;252
49662;19.09.2004;49662_00__1;2004;271;161;263
49662;11.09.2005;49662_00__1;2005;271;153;254
49662;11.09.2006;49662_00__1;2006;271;165;254
49662;04.08.2007;49662_00__1;2007;271;110;216
49662;31.08.2008;49662_00__1;2008;271;148;244
49662;05.09.2009;49662_00__1;2009;271;150;248
49662;17.09.2010;49662_00__1;2010;271;163;260
49662;10.09.2011;49662_00__1;2011;271;154;253
49662;31.08.2012;49662_00__1;2012;271;143;244
49662;17.09.2013;49662_00__1;2013;271;165;260
49662;19.08.2014;49662_00__1;2014;271;130;231
49662;26.08.2015;49662_00__1;2015;271;141;238
49662;22.08.2016;49662_00__1;2016;271;139;235
49662;05.09.2017;49662_00__1;2017;271;151;248
49662;12.08.2018;49662_00__1;2018;271;138;224
49662;16.08.2019;49662_00__1;2019;271;136;228
49662;16.08.2020;49662_00__1;2020;271;126;229
49662;31.08.2021;49662_00__1;2021;271;151;243
49662;02.08.2022;49662_00__1;2022;271;123;214
