projectid;CURRENT.DATE;simulationid;Year;DOY;DATE;DoSow;DevStage;PlantingDOY;EmergenceDATE;EmergenceDOY;AnthesisDate;AnthesisDOY;MilkripenessDate;MilkripenessDOY;MaturityDate;MaturityDOY;HarvestDATE;FertilizeAmount;FertilizeAmount_Nitrogen;Yield_t_ha;Yield_translocated_t_ha;AGBiomass_t_ha;maxLAI;maxSeminal_RootDepth;maxRootDepth;Rain;Radiation;Tmax;Tmin;TRANRF;NNI;PNI;KNI;NPKI;NUptake_SlimN;cropNuptake_kg_ha;cropPuptake_kg_ha;TotalUptakeP;CumulatedFertilizerP;TotalCropAvailWaterContent_Sum;TotalCropAvailWaterContent_Avg;inputChemN_kg_ha;PLeaching;CumulatedSeepN;NitrateLossSeepage;CumulatedMineralizedP;WSEEP_SUM;ActualTranspiration;ActualEvapotranspiration;PotentialEvapotranspiration;ReferenceEvapotranspiration
49662;31.07.1989;49662_00__1;1989;212;31.07.1989;false;2.012820;271;01.10.1988;275;02.07.1989;183;NULL;NULL;31.07.1989;212;31.07.1989;13.493492;12.045754;2.353172;6.599032;17.749171;6.481343;1.800000;1.800000;320.700000;3928.250000;14.384789;5.765915;0.742863;0.983850;0.988732;0.987767;0.982921;0.5381080393473529;225.649064;45.214791;4.576559;0.428378;1616.800754;4.554368;120.457540;4.904546;0.002117;0.000000;-40.512163;68.570414;353.133627;424.579971;679.138204;675.676006
49662;30.07.1990;49662_00__1;1990;211;30.07.1990;false;2.000040;271;03.10.1989;276;29.06.1990;180;NULL;NULL;30.07.1990;211;30.07.1990;13.493492;12.045754;3.700640;8.600910;21.255623;6.416254;1.800000;1.800000;468.000000;4097.892000;14.784066;6.122253;0.744797;0.967456;0.986264;0.986157;0.967350;0.5167826817027719;244.152417;47.417050;4.741705;0.428378;2155.545434;5.921828;120.457540;10.139886;1.062715;0.000000;-33.362877;141.810314;407.226604;483.276369;695.853299;705.139919
49662;19.08.1991;49662_00__1;1991;231;19.08.1991;false;2.021550;271;03.10.1990;276;21.07.1991;202;NULL;NULL;19.08.1991;231;19.08.1991;13.493492;12.045754;3.411387;8.442061;21.633423;6.813289;1.800000;1.800000;548.600000;4324.191000;13.942338;5.242078;0.777228;0.979871;0.987013;0.979368;0.972226;0.601680169192555;254.038044;50.216575;5.021657;0.428378;2159.598639;5.609347;120.457540;8.106666;0.255103;0.000000;-36.096281;113.998582;455.361978;544.974588;749.988083;740.748709
49662;04.08.1992;49662_00__1;1992;217;04.08.1992;false;2.037930;271;03.10.1991;276;07.07.1992;189;NULL;NULL;04.08.1992;217;04.08.1992;13.493492;12.045754;3.525760;7.597596;18.167161;6.675628;1.800000;1.800000;435.600000;3943.787000;14.707692;4.976068;0.784829;0.977590;0.985755;0.984210;0.976301;0.5917634326532294;224.285692;45.119305;5.021657;0.428378;1879.931314;5.355930;120.457540;10.798926;1.487979;0.000000;-36.132073;150.968149;394.348094;456.129412;701.230076;695.128945
49662;15.08.1993;49662_00__1;1993;227;15.08.1993;false;2.019840;271;02.10.1992;276;14.07.1993;195;NULL;NULL;15.08.1993;227;15.08.1993;13.493492;12.045754;5.864051;11.516163;26.163575;6.521142;1.800000;1.800000;739.600000;4108.680000;14.233777;5.262234;0.832892;0.952356;0.986702;0.972497;0.938152;0.669214636452153;276.639861;52.542145;5.254214;0.428378;1545.324054;4.109904;120.457540;12.085904;2.464417;0.000000;-30.862921;170.116808;514.537587;604.016160;715.922139;710.352910
49662;07.08.1994;49662_00__1;1994;219;07.08.1994;false;2.018670;271;04.10.1993;277;15.07.1994;196;NULL;NULL;07.08.1994;219;07.08.1994;13.493492;12.045754;1.542174;6.909259;20.847515;6.260233;1.800000;1.800000;592.800000;3809.200000;13.646218;5.094678;0.784104;0.968738;0.983193;0.968944;0.954501;0.6650553597908588;255.112664;50.330658;5.254214;0.428378;1653.514673;4.631694;120.457540;16.841912;4.047218;0.000000;-34.028092;238.266285;407.459235;482.563378;682.898057;666.252137
49662;07.08.1995;49662_00__1;1995;219;07.08.1995;false;2.023530;271;04.10.1994;277;12.07.1995;193;NULL;NULL;07.08.1995;219;07.08.1995;13.493492;12.045754;2.263626;7.680826;21.685261;6.562450;1.800000;1.800000;643.000000;3996.566000;14.276164;5.533699;0.780148;0.978724;0.983562;0.975303;0.970466;0.7741428857021184;255.670603;50.926994;5.092699;0.428378;2041.784492;5.593930;120.457540;10.740529;1.429121;0.000000;-34.805983;149.798329;437.296547;529.566322;702.726300;689.399426
49662;04.09.1996;49662_00__1;1996;248;04.09.1996;false;2.007960;271;05.10.1995;278;05.08.1996;218;NULL;NULL;04.09.1996;248;04.09.1996;13.493492;12.045754;2.985601;8.282345;22.162440;7.638369;1.800000;1.800000;475.400000;4255.973000;13.059645;4.020812;0.790265;0.980897;0.982234;0.962264;0.960995;0.7316808486869442;279.226985;55.580449;5.558045;0.428378;1752.897417;4.448978;120.457540;4.346610;0.000772;0.000000;-39.773882;60.277750;449.710805;521.467283;727.813982;719.690792
49662;13.08.1997;49662_00__1;1997;225;13.08.1997;false;2.030010;271;02.10.1996;276;16.07.1997;197;NULL;NULL;13.08.1997;225;13.08.1997;13.493492;12.045754;4.046547;8.471768;19.944379;6.922593;1.800000;1.800000;426.700000;3629.359000;12.969971;3.932362;0.846050;0.976949;0.985423;0.982056;0.973582;0.7597909217322643;233.582094;46.723242;5.558045;0.428378;1963.538203;5.724601;120.457540;7.837388;0.172327;0.000000;-33.808766;109.176468;433.797270;487.987785;631.177687;610.011464
49662;03.08.1998;49662_00__1;1998;215;03.08.1998;false;2.003550;271;03.10.1997;276;03.07.1998;184;NULL;NULL;03.08.1998;215;03.08.1998;13.493492;12.045754;4.642162;9.792705;23.162946;6.750952;1.800000;1.800000;446.600000;3668.995000;14.550423;5.660845;0.811852;0.967366;0.985915;0.980817;0.962268;0.6844628103293007;265.593486;49.347427;4.934743;0.428378;1777.352742;5.006627;120.457540;8.855827;0.467099;0.000000;-34.924861;124.448266;431.967475;497.785131;641.713899;637.528967
