projectid;CURRENT.DATE;simulationid;Year;DOY;DATE;DoSow;DevStage;PlantingDOY;EmergenceDATE;EmergenceDOY;AnthesisDate;AnthesisDOY;MilkripenessDate;MilkripenessDOY;MaturityDate;MaturityDOY;HarvestDATE;FertilizeAmount;FertilizeAmount_Nitrogen;Yield_t_ha;Yield_translocated_t_ha;AGBiomass_t_ha;maxLAI;maxSeminal_RootDepth;maxRootDepth;Rain;Radiation;Tmax;Tmin;TRANRF;NNI;PNI;KNI;NPKI;NUptake_SlimN;cropNuptake_kg_ha;cropPuptake_kg_ha;TotalUptakeP;CumulatedFertilizerP;TotalCropAvailWaterContent_Sum;TotalCropAvailWaterContent_Avg;inputChemN_kg_ha;PLeaching;CumulatedSeepN;NitrateLossSeepage;CumulatedMineralizedP;WSEEP_SUM;ActualTranspiration;ActualEvapotranspiration;PotentialEvapotranspiration;ReferenceEvapotranspiration
49651;27.08.1979;49651_00__1;1979;239;27.08.1979;false;2.011380;271;05.10.1978;278;26.07.1979;207;NULL;NULL;27.08.1979;239;27.08.1979;13.493492;12.045754;5.376123;10.698352;24.412715;4.580727;1.800000;1.800000;1003.300000;6907.647000;12.693212;4.720530;0.537246;0.922763;0.988411;0.984039;0.920010;4.4231242879272346;242.598462;48.637617;4.863762;0.428378;3285.924478;5.440272;120.457540;17.852857;0.852451;0.000000;-17.354491;408.535178;537.499356;804.624696;1064.502769;1156.070940
49651;03.09.1980;49651_00__1;1980;247;03.09.1980;false;2.016420;271;06.10.1979;279;02.08.1980;215;NULL;NULL;03.09.1980;247;03.09.1980;13.493492;12.045754;4.955554;10.373957;24.345011;4.825649;1.800000;1.800000;584.000000;4063.834000;12.528418;4.492225;0.892476;0.875235;0.978552;0.969895;0.871221;4.495753097386327;244.554487;50.394387;5.039439;0.428378;3454.746676;9.262055;120.457540;7.169924;0.273190;0.000000;-17.060674;163.941961;551.589789;614.846563;673.262277;662.913813
49651;15.08.1981;49651_00__1;1981;227;15.08.1981;false;2.035230;271;03.10.1980;277;14.07.1981;195;NULL;NULL;15.08.1981;227;15.08.1981;13.493492;12.045754;4.969925;10.220034;23.790870;4.994125;1.800000;1.800000;633.200000;3559.988000;12.725434;5.167052;0.911122;0.883869;0.982659;0.980434;0.882017;4.619395565758932;238.750861;48.471691;5.039439;0.428378;3163.087425;9.141871;120.457540;9.932150;1.532591;0.000000;-16.611194;226.236051;523.277882;585.209273;620.440692;600.520601
49651;17.08.1982;49651_00__1;1982;229;17.08.1982;false;2.014890;271;03.10.1981;276;21.07.1982;202;NULL;NULL;17.08.1982;229;17.08.1982;13.493492;12.045754;1.524698;6.313915;18.928414;4.768730;1.800000;1.800000;556.900000;4251.401000;13.074659;4.512262;0.796244;0.919828;0.986376;0.985242;0.919604;3.527666905681384;219.064399;47.439536;4.847169;0.428378;2129.826720;5.803343;120.457540;9.632569;1.554329;0.000000;-14.271336;225.358857;456.724312;542.824230;723.264521;722.565170
49651;31.07.1983;49651_00__1;1983;212;31.07.1983;false;2.035590;271;02.10.1982;275;05.07.1983;186;NULL;NULL;31.07.1983;212;31.07.1983;13.493492;12.045754;5.484629;10.438964;23.237091;4.627857;1.800000;1.800000;420.500000;3740.283000;14.305460;5.964080;0.838647;0.904928;0.988506;0.988506;0.904928;4.360253419103749;222.320079;44.378483;4.743954;0.428378;3361.400189;9.659196;120.457540;6.494512;0.106160;0.000000;-18.580262;146.014266;467.323496;516.921639;652.662313;654.476962
49651;27.08.1984;49651_00__1;1984;240;27.08.1984;false;2.009580;271;04.10.1983;277;29.07.1984;211;NULL;NULL;27.08.1984;240;27.08.1984;13.493492;12.045754;5.057732;10.131870;23.222235;4.535651;1.800000;1.800000;581.200000;4289.411000;13.514504;5.563613;0.833839;0.891411;0.984733;0.984081;0.890759;4.704792577671742;229.399641;46.307604;4.630760;0.428378;3221.254230;8.196576;120.457540;5.667805;0.051386;0.000000;-18.267365;128.284724;514.299030;599.146738;711.827975;725.771314
49651;21.08.1985;49651_00__1;1985;233;21.08.1985;false;2.009850;271;02.10.1984;276;22.07.1985;203;NULL;NULL;21.08.1985;233;21.08.1985;13.493492;12.045754;3.082919;8.408637;22.313141;5.202451;1.800000;1.800000;424.100000;3738.481000;12.089972;4.405850;0.846797;0.912054;0.986072;0.979772;0.908581;4.5738520359193044;245.686181;50.345870;5.034587;0.428378;2934.129588;8.173063;120.457540;4.759597;0.011693;0.000000;-18.126018;107.929052;470.978661;535.524019;639.502918;623.043978
49651;17.08.1986;49651_00__1;1986;229;17.08.1986;false;2.018400;271;03.10.1985;276;20.07.1986;201;NULL;NULL;17.08.1986;229;17.08.1986;13.493492;12.045754;5.346418;11.042921;25.773459;4.741436;1.800000;1.800000;535.600000;3966.146000;12.692521;4.436842;0.870584;0.892856;0.986150;0.973459;0.884376;4.742435289391513;254.307717;51.062475;5.106247;0.428378;3259.922004;9.030255;120.457540;5.890477;0.063406;0.000000;-19.245088;133.344623;543.596072;620.177587;685.468238;676.236489
49651;30.08.1987;49651_00__1;1987;242;30.08.1987;false;2.014170;271;03.10.1986;276;27.07.1987;208;NULL;NULL;30.08.1987;242;30.08.1987;13.493492;12.045754;5.208619;10.899172;25.559464;5.052636;1.800000;1.800000;679.300000;4004.051000;11.824603;4.068254;0.873016;0.889466;0.986772;0.971561;0.881342;4.688357270214142;262.917090;52.441489;5.244149;0.428378;4210.649536;11.139284;120.457540;8.558304;0.555803;0.000000;-17.674959;195.881931;532.357853;605.484666;653.801002;640.658446
49651;08.08.1988;49651_00__1;1988;221;08.08.1988;false;2.021820;271;05.10.1987;278;08.07.1988;190;NULL;NULL;08.08.1988;221;08.08.1988;13.493492;12.045754;5.435528;10.292062;22.834948;4.457749;1.800000;1.800000;554.500000;3625.302000;13.160465;5.764535;0.890103;0.869560;0.979651;0.979651;0.869560;4.666423352802759;221.671540;43.696176;5.244149;0.428378;2247.681962;6.533959;120.457540;8.096789;0.515098;0.000000;-18.126807;182.465089;508.967613;572.549127;619.483156;611.884699
