projectid;CURRENT.DATE;simulationid;Year;DOY;DATE;DoSow;DevStage;PlantingDOY;EmergenceDATE;EmergenceDOY;AnthesisDate;AnthesisDOY;MilkripenessDate;MilkripenessDOY;MaturityDate;MaturityDOY;HarvestDATE;FertilizeAmount;FertilizeAmount_Nitrogen;Yield_t_ha;Yield_translocated_t_ha;AGBiomass_t_ha;maxLAI;maxSeminal_RootDepth;maxRootDepth;Rain;Radiation;Tmax;Tmin;TRANRF;NNI;PNI;KNI;NPKI;NUptake_SlimN;cropNuptake_kg_ha;cropPuptake_kg_ha;TotalUptakeP;CumulatedFertilizerP;TotalCropAvailWaterContent_Sum;TotalCropAvailWaterContent_Avg;inputChemN_kg_ha;PLeaching;CumulatedSeepN;NitrateLossSeepage;CumulatedMineralizedP;WSEEP_SUM;ActualTranspiration;ActualEvapotranspiration;PotentialEvapotranspiration;ReferenceEvapotranspiration
49655;27.08.1979;49655_00__1;1979;239;27.08.1979;false;2.006520;271;05.10.1978;278;26.07.1979;207;NULL;NULL;27.08.1979;239;27.08.1979;13.493492;12.045754;4.671270;9.693687;22.657173;4.444057;1.800000;1.800000;973.000000;6802.488000;12.678146;4.715563;0.518512;0.922994;0.988411;0.987244;0.922461;4.1104096249326485;231.482016;46.228218;4.622822;0.428378;2442.551337;4.043959;120.457540;20.016676;1.920707;0.000000;-17.596822;395.532690;489.825574;749.446518;1043.914460;1139.028382
49655;03.09.1980;49655_00__1;1980;247;03.09.1980;false;2.011470;271;06.10.1979;279;02.08.1980;215;NULL;NULL;03.09.1980;247;03.09.1980;13.493492;12.045754;4.737081;10.009246;23.613190;4.668614;1.800000;1.800000;569.000000;4009.914000;12.520643;4.483914;0.889847;0.872704;0.978552;0.974005;0.870252;4.318573923810584;237.326393;48.900040;4.890004;0.428378;2542.286909;6.815783;120.457540;7.822078;0.791695;0.000000;-17.408402;154.300124;538.152117;601.592914;662.581517;654.230190
49655;15.08.1981;49655_00__1;1981;227;15.08.1981;false;2.026950;271;03.10.1980;277;14.07.1981;195;NULL;NULL;15.08.1981;227;15.08.1981;13.493492;12.045754;3.991134;8.895773;21.630540;4.832676;1.800000;1.800000;620.300000;3509.680000;12.707514;5.158382;0.889209;0.893223;0.982659;0.982501;0.893071;4.510151369502934;222.182668;46.494674;4.890004;0.428378;2422.592378;7.001712;120.457540;11.235787;2.536827;0.000000;-16.752178;220.872953;479.152606;541.539507;607.886573;591.954714
49655;17.08.1982;49655_00__1;1982;229;17.08.1982;false;2.012100;271;03.10.1981;276;21.07.1982;202;NULL;NULL;17.08.1982;229;17.08.1982;13.493492;12.045754;1.045343;5.213721;16.157565;4.490327;1.800000;1.800000;545.800000;4202.806000;13.066485;4.503815;0.774647;0.917220;0.986376;0.986376;0.917220;3.415856620214471;195.387519;42.635936;4.649467;0.428378;1576.563509;4.295813;120.457540;10.908848;3.296637;0.000000;-14.057967;221.093299;403.824945;491.644668;704.746345;714.380672
49655;31.07.1983;49655_00__1;1983;212;31.07.1983;false;2.022270;271;02.10.1982;275;05.07.1983;186;NULL;NULL;31.07.1983;212;31.07.1983;13.493492;12.045754;3.365947;8.238682;20.920785;4.595512;1.800000;1.800000;409.700000;3691.406000;14.270402;5.937644;0.815761;0.918947;0.988506;0.988506;0.918947;4.170835616232461;220.075060;43.761007;4.376101;0.428378;2634.311580;7.569861;120.457540;7.389934;0.467731;0.000000;-18.586153;142.933651;419.197945;467.572240;642.979638;646.176849
49655;27.08.1984;49655_00__1;1984;240;27.08.1984;false;2.000400;271;04.10.1983;277;29.07.1984;211;NULL;NULL;27.08.1984;240;27.08.1984;13.493492;12.045754;4.509192;9.463310;22.275065;4.446779;1.800000;1.800000;562.900000;4228.581000;13.477099;5.563613;0.812228;0.893668;0.984733;0.984733;0.893668;4.584791909198926;221.979636;45.181461;4.518146;0.428378;2311.182674;5.880872;120.457540;6.323620;0.222831;0.000000;-18.475790;123.137758;474.999040;557.140136;699.552970;715.412174
49655;21.08.1985;49655_00__1;1985;233;21.08.1985;false;2.002560;271;02.10.1984;276;22.07.1985;203;NULL;NULL;21.08.1985;233;21.08.1985;13.493492;12.045754;1.878610;6.638979;19.031682;5.234348;1.800000;1.800000;407.400000;3685.118000;12.074373;4.397493;0.817564;0.925082;0.986072;0.984766;0.925024;4.244427692188737;222.683018;47.772640;4.777264;0.428378;2204.903421;6.141792;120.457540;5.312009;0.062527;0.000000;-18.319402;103.837550;412.699615;479.535443;624.825348;614.223612
49655;17.08.1986;49655_00__1;1986;229;17.08.1986;false;2.015610;271;03.10.1985;276;20.07.1986;201;NULL;NULL;17.08.1986;229;17.08.1986;13.493492;12.045754;3.667442;9.232481;23.713759;4.683262;1.800000;1.800000;515.900000;3916.729000;12.689751;4.428255;0.840794;0.898887;0.986150;0.975981;0.892390;4.631748687251238;247.851170;50.261415;5.026142;0.428378;2469.602786;6.841005;120.457540;6.509081;0.243447;0.000000;-19.642525;126.924647;494.744854;569.440828;675.632265;668.302311
49655;30.08.1987;49655_00__1;1987;242;30.08.1987;false;2.006520;271;03.10.1986;276;27.07.1987;208;NULL;NULL;30.08.1987;242;30.08.1987;13.493492;12.045754;5.115786;10.658187;24.949248;4.875073;1.800000;1.800000;656.400000;3943.177000;11.808201;4.068254;0.872736;0.886363;0.986772;0.976245;0.880246;4.426433779947816;256.295049;50.854856;5.085486;0.428378;3108.598919;8.223807;120.457540;9.498595;1.302795;0.000000;-18.016762;187.550687;522.095134;594.910129;641.534860;630.662682
49655;08.08.1988;49655_00__1;1988;221;08.08.1988;false;2.007780;271;05.10.1987;278;09.07.1988;191;NULL;NULL;08.08.1988;221;08.08.1988;13.493492;12.045754;4.962165;9.480194;21.128702;4.244246;1.800000;1.800000;536.700000;3575.177000;13.140116;5.738081;0.868887;0.869875;0.979651;0.979651;0.869875;4.147211016106697;207.417914;40.731708;5.085486;0.428378;1677.832864;4.877421;120.457540;8.861053;1.134829;0.000000;-18.533244;171.507673;460.814461;523.884969;602.909480;603.027877
49655;30.07.1989;49655_00__1;1989;211;30.07.1989;false;2.001930;271;01.10.1988;275;01.07.1989;182;NULL;NULL;30.07.1989;211;30.07.1989;13.493492;12.045754;1.966509;6.121310;16.873484;4.440984;1.800000;1.800000;315.500000;3967.573000;14.462079;5.863764;0.755274;0.911453;0.988764;0.988764;0.911453;2.2301296088025064;186.666448;40.711857;4.073171;0.428378;1731.541045;4.863879;120.457540;2.890494;0.000052;0.000000;-21.608996;56.280534;367.303317;444.265240;670.591144;686.528180
